date,股票代码,open,close,high,low,volume,amount,振幅,涨跌幅,涨跌额,turnover_rate
20250516,000002,6.8,6.77,6.82,6.73,544749,368266692.2,1.33,-0.29,-0.02,0.005600000000000001
20250519,000002,6.75,6.8,6.83,6.73,561760,381437233.14,1.48,0.44,0.03,0.0058
20250520,000002,6.79,6.78,6.8,6.75,526954,356850166.27,0.74,-0.29,-0.02,0.0054
20250521,000002,6.78,6.76,6.79,6.75,433624,293193308.45,0.59,-0.29,-0.02,0.0045000000000000005
20250522,000002,6.74,6.67,6.75,6.66,614036,411525376.67,1.33,-1.33,-0.09,0.0063
20250523,000002,6.67,6.63,6.7,6.63,442112,294776048.35,1.05,-0.6,-0.04,0.0045000000000000005
20250526,000002,6.63,6.63,6.65,6.6,378208,250526524.76,0.75,0.0,0.0,0.0039000000000000003
20250527,000002,6.63,6.67,6.71,6.62,466038,311200977.17,1.36,0.6,0.04,0.0048
20250528,000002,6.73,6.68,6.76,6.67,407588,273180924.12,1.35,0.15,0.01,0.0042
20250529,000002,6.67,6.7,6.73,6.67,463601,310716339.59,0.9,0.3,0.02,0.0048
20250530,000002,6.68,6.64,6.7,6.64,487420,324963633.02,0.9,-0.9,-0.06,0.005
20250603,000002,6.58,6.58,6.6,6.54,646833,424995228.9,0.9,-0.9,-0.06,0.0067
20250604,000002,6.59,6.62,6.64,6.57,506252,334336923.39,1.06,0.61,0.04,0.0052
20250605,000002,6.61,6.64,6.66,6.59,511213,338787186.33,1.06,0.3,0.02,0.0053
20250606,000002,6.64,6.6,6.66,6.59,452611,299302131.05,1.05,-0.6,-0.04,0.004699999999999999
20250609,000002,6.6,6.62,6.64,6.58,443997,293716180.46,0.91,0.3,0.02,0.0046
20250610,000002,6.63,6.6,6.73,6.56,1041358,691420607.61,2.57,-0.3,-0.02,0.010700000000000001
20250611,000002,6.57,6.57,6.61,6.54,990421,651195582.65,1.06,-0.45,-0.03,0.0102
20250612,000002,6.55,6.51,6.56,6.48,1076521,700371589.18,1.22,-0.91,-0.06,0.0111
20250613,000002,6.5,6.44,6.51,6.42,876150,565615423.68,1.38,-1.08,-0.07,0.009000000000000001
20250616,000002,6.46,6.57,6.63,6.45,1302348,852638648.59,2.8,2.02,0.13,0.0134
20250617,000002,6.57,6.53,6.58,6.51,582391,380340184.44,1.07,-0.61,-0.04,0.006
20250618,000002,6.51,6.44,6.53,6.42,635396,409956626.51,1.68,-1.38,-0.09,0.006500000000000001
20250619,000002,6.42,6.32,6.43,6.3,854546,542431839.2,2.02,-1.86,-0.12,0.0088
20250620,000002,6.33,6.29,6.34,6.28,524485,330716434.7,0.95,-0.47,-0.03,0.0054
20250623,000002,6.26,6.29,6.3,6.21,551512,344849287.71,1.43,0.0,0.0,0.005699999999999999
20250624,000002,6.29,6.35,6.37,6.28,620283,393091823.56,1.43,0.95,0.06,0.0064
20250625,000002,6.34,6.43,6.43,6.32,820904,524029286.28,1.73,1.26,0.08,0.0084
20250626,000002,6.42,6.39,6.44,6.38,660621,423203563.46,0.93,-0.62,-0.04,0.0068000000000000005
20250627,000002,6.39,6.39,6.48,6.38,786786,504925347.8,1.56,0.0,0.0,0.008100000000000001
20250630,000002,6.4,6.42,6.45,6.39,604073,387396027.65,0.94,0.47,0.03,0.0062
20250701,000002,6.42,6.35,6.42,6.31,598318,380416981.0,1.71,-1.09,-0.07,0.0062
20250702,000002,6.36,6.5,6.52,6.34,1310859,843883002.36,2.83,2.36,0.15,0.013500000000000002
20250703,000002,6.48,6.46,6.55,6.44,810140,524884084.66,1.69,-0.62,-0.04,0.0083
20250704,000002,6.48,6.44,6.52,6.41,786688,507693643.05,1.7,-0.31,-0.02,0.008100000000000001
20250707,000002,6.44,6.52,6.59,6.44,1205381,788025610.88,2.33,1.24,0.08,0.0124
20250708,000002,6.51,6.56,6.58,6.47,934783,610035074.48,1.69,0.61,0.04,0.0096
20250709,000002,6.54,6.54,6.58,6.52,735917,481726009.99,0.91,-0.3,-0.02,0.0076
20250710,000002,6.52,6.76,6.87,6.51,2517029,1686568538.74,5.5,3.36,0.22,0.0259
20250711,000002,6.75,6.76,6.79,6.68,1628707,1099511183.46,1.63,0.0,0.0,0.0168
20250714,000002,6.73,6.66,6.79,6.63,1205525,804732025.4,2.37,-1.48,-0.1,0.0124
20250715,000002,6.64,6.6,6.65,6.46,1521320,995641915.16,2.85,-0.9,-0.06,0.015700000000000002
20250716,000002,6.55,6.56,6.65,6.53,849081,558859430.68,1.82,-0.61,-0.04,0.0087
20250717,000002,6.56,6.56,6.59,6.51,709664,464455717.04,1.22,0.0,0.0,0.0073
20250718,000002,6.57,6.57,6.59,6.54,574030,376631218.46,0.76,0.15,0.01,0.0059
20250721,000002,6.56,6.6,6.61,6.55,744111,490610466.72,0.91,0.46,0.03,0.0077
20250722,000002,6.61,6.7,6.72,6.53,1488010,987611725.35,2.88,1.52,0.1,0.015300000000000001
20250723,000002,6.73,6.72,6.83,6.68,1706754,1152841042.57,2.24,0.3,0.02,0.0176
20250724,000002,6.7,6.81,6.84,6.67,1842330,1250384460.53,2.53,1.34,0.09,0.019
20250725,000002,6.81,6.78,6.84,6.76,1235949,838988937.07,1.17,-0.44,-0.03,0.0127
20250728,000002,6.78,6.79,6.84,6.68,1194042,808397624.24,2.36,0.15,0.01,0.0123
20250729,000002,6.76,6.81,6.81,6.7,993479,672095322.69,1.62,0.29,0.02,0.0102
20250730,000002,6.8,6.7,6.88,6.69,1589278,1079201558.87,2.79,-1.62,-0.11,0.016399999999999998
20250731,000002,6.67,6.44,6.68,6.42,2299511,1496029078.2,3.88,-3.88,-0.26,0.023700000000000002
